quarter,date,btc_holdings,avg_cost_usd,shares_outstanding,reported_net_income_usd,is_actual_asc360
2021Q1,2021-03-31,42902,33000,963000000,438000000,False
2021Q2,2021-06-30,42902,33000,984000000,1142000000,False
2021Q3,2021-09-30,42902,33000,1004000000,1618000000,False
2021Q4,2021-12-31,42902,33000,1033171787,2321000000,False
2022Q1,2022-03-31,42902,33000,1036000000,3318000000,False
2022Q2,2022-06-30,10725,33000,1041000000,2259000000,False
2022Q3,2022-09-30,9720,33000,3158000000,3292000000,False
2022Q4,2022-12-31,9720,33000,3164000000,3687000000,False
2023Q1,2023-03-31,9720,33000,3169000000,2513000000,False
2023Q2,2023-06-30,9720,33000,3174000000,2703000000,False
2023Q3,2023-09-30,9720,33000,3179000000,1853000000,False
2023Q4,2023-12-31,9720,33000,3185000000,7928000000,False
2024Q1,2024-03-31,9720,33000,3189000000,1390000000,False
2024Q2,2024-06-30,9720,33000,3194000000,1400000000,False
2024Q3,2024-09-30,9720,33000,3207000000,2173000000,False
2024Q4,2024-12-31,9720,33000,3216000000,2314000000,False
2025Q1,2025-03-31,9720,33000,3220000000,409000000,True
2025Q2,2025-06-30,9720,33000,3224000000,1172000000,True
2025Q3,2025-09-30,9720,33000,3324000000,1373000000,True
2025Q4,2025-12-31,9720,33000,3751000000,840000000,True
